teama_maps,teama_kddiff,teama_kdr,teama_rtg,teama_ct_rw,teama_ct_opk,teama_ct_multik,teama_ct_5v4,teama_ct_4v5,teama_ct_trd,teama_ct_adr,teama_ct_fa,teama_t_rw,teama_t_opk,teama_t_multik,teama_t_5v4,teama_t_4v5,teama_t_trd,teama_t_adr,teama_t_fa,teama_ct_pistol_rw,teama_ct_pistol_r2conv,teama_ct_pistol_r2brk,teama_t_pistol_rw,teama_t_pistol_r2conv,teama_t_pistol_r2brk,teamb_maps,teamb_kddiff,teamb_kdr,teamb_rtg,teamb_ct_rw,teamb_ct_opk,teamb_ct_multik,teamb_ct_5v4,teamb_ct_4v5,teamb_ct_trd,teamb_ct_adr,teamb_ct_fa,teamb_t_rw,teamb_t_opk,teamb_t_multik,teamb_t_5v4,teamb_t_4v5,teamb_t_trd,teamb_t_adr,teamb_t_fa,teamb_ct_pistol_rw,teamb_ct_pistol_r2conv,teamb_ct_pistol_r2brk,teamb_t_pistol_rw,teamb_t_pistol_r2conv,teamb_t_pistol_r2brk,match_winner
67.0,127.0,1.02,1.04,0.5329999999999999,0.606,0.87,0.6990000000000001,0.27899999999999997,0.19399999999999998,28.4,0.2,0.489,0.40299999999999997,0.68,0.7490000000000001,0.314,0.2,13.2,0.24,0.552,0.8109999999999999,0.2,0.537,0.861,0.161,45.0,-246.0,0.94,1.0,0.511,0.574,0.86,0.713,0.239,0.20600000000000002,24.3,0.27,0.447,0.365,0.68,0.7190000000000001,0.29100000000000004,0.22899999999999998,13.7,0.27,0.511,0.87,0.136,0.511,0.696,0.22699999999999998,0.0
60.0,-151.0,0.97,1.02,0.58,0.605,0.94,0.77,0.292,0.19,33.1,0.2,0.40299999999999997,0.414,0.62,0.6729999999999999,0.213,0.17,13.8,0.25,0.6,0.778,0.20800000000000002,0.483,0.69,0.129,50.0,-330.0,0.93,0.98,0.516,0.565,0.83,0.6970000000000001,0.281,0.174,35.9,0.21,0.434,0.406,0.59,0.693,0.256,0.20600000000000002,16.6,0.29,0.36,0.778,0.188,0.46,0.696,0.14800000000000002,0.0
47.0,-185.0,0.96,1.0,0.53,0.555,0.83,0.713,0.304,0.18100000000000002,39.2,0.29,0.425,0.382,0.68,0.708,0.25,0.204,15.1,0.3,0.5529999999999999,0.846,0.14300000000000002,0.511,0.75,0.087,78.0,107.0,1.02,1.04,0.5539999999999999,0.581,0.9,0.753,0.27699999999999997,0.201,28.9,0.23,0.467,0.42,0.66,0.73,0.27699999999999997,0.2,16.0,0.29,0.551,0.86,0.2,0.397,0.677,0.23399999999999999,0.0
42.0,-240.0,0.94,1.0,0.511,0.5660000000000001,0.85,0.708,0.254,0.204,24.4,0.26,0.44299999999999995,0.365,0.69,0.727,0.28,0.228,13.5,0.26,0.524,0.8640000000000001,0.15,0.5,0.667,0.23800000000000002,34.0,-379.0,0.88,0.93,0.486,0.537,0.83,0.723,0.213,0.177,21.7,0.18,0.419,0.41,0.65,0.6759999999999999,0.242,0.175,11.6,0.23,0.47100000000000003,0.812,0.278,0.5,0.8240000000000001,0.11800000000000001,0.0
53.0,327.0,1.07,1.08,0.5920000000000001,0.629,0.93,0.775,0.28600000000000003,0.19699999999999998,34.7,0.25,0.498,0.419,0.67,0.753,0.314,0.201,16.7,0.27,0.698,0.892,0.625,0.5660000000000001,0.833,0.435,64.0,125.0,1.02,1.04,0.534,0.605,0.87,0.706,0.27399999999999997,0.193,28.0,0.21,0.489,0.40700000000000003,0.67,0.738,0.319,0.198,13.0,0.24,0.562,0.8059999999999999,0.214,0.531,0.853,0.16699999999999998,0.0
59.0,351.0,1.07,1.06,0.596,0.606,0.93,0.759,0.345,0.20199999999999999,30.3,0.14,0.478,0.423,0.72,0.725,0.298,0.191,15.5,0.23,0.542,0.812,0.33299999999999996,0.525,0.742,0.179,57.0,-153.0,0.97,1.01,0.523,0.588,0.85,0.695,0.27699999999999997,0.184,31.2,0.2,0.449,0.426,0.66,0.6759999999999999,0.281,0.21,16.2,0.26,0.544,0.871,0.192,0.386,0.818,0.22899999999999998,0.0
67.0,222.0,1.04,1.06,0.557,0.5870000000000001,0.86,0.7290000000000001,0.315,0.191,38.3,0.21,0.475,0.41600000000000004,0.7,0.73,0.29,0.19899999999999998,17.2,0.23,0.5820000000000001,0.821,0.28600000000000003,0.46299999999999997,0.742,0.25,81.0,324.0,1.05,1.07,0.5770000000000001,0.595,0.94,0.7440000000000001,0.33399999999999996,0.214,41.6,0.24,0.46799999999999997,0.392,0.67,0.7240000000000001,0.303,0.221,18.2,0.33,0.469,0.8420000000000001,0.233,0.506,0.8290000000000001,0.2,0.0
62.0,175.0,1.03,1.05,0.539,0.607,0.88,0.7090000000000001,0.276,0.195,27.6,0.21,0.495,0.41100000000000003,0.67,0.745,0.321,0.198,12.7,0.25,0.581,0.8059999999999999,0.231,0.532,0.879,0.172,47.0,-301.0,0.93,0.98,0.512,0.5589999999999999,0.83,0.696,0.27899999999999997,0.175,36.7,0.22,0.44299999999999995,0.40700000000000003,0.6,0.7020000000000001,0.264,0.20800000000000002,17.3,0.3,0.34,0.75,0.19399999999999998,0.447,0.667,0.154,0.0
55.0,-125.0,0.97,1.02,0.528,0.598,0.85,0.695,0.27899999999999997,0.185,31.7,0.2,0.451,0.423,0.66,0.6859999999999999,0.27899999999999997,0.21100000000000002,16.1,0.27,0.564,0.871,0.20800000000000002,0.364,0.85,0.22899999999999998,76.0,154.0,1.02,1.05,0.561,0.585,0.9,0.757,0.28300000000000003,0.2,29.1,0.23,0.47100000000000003,0.423,0.66,0.736,0.278,0.198,16.2,0.29,0.5529999999999999,0.857,0.20600000000000002,0.408,0.677,0.222,0.0
31.0,-319.0,0.89,0.94,0.493,0.539,0.84,0.735,0.212,0.175,21.7,0.19,0.419,0.414,0.65,0.679,0.23800000000000002,0.177,11.7,0.24,0.484,0.867,0.25,0.516,0.875,0.133,78.0,382.0,1.06,1.07,0.5820000000000001,0.6,0.95,0.7440000000000001,0.342,0.215,42.4,0.24,0.469,0.397,0.68,0.731,0.297,0.221,18.3,0.34,0.474,0.865,0.22,0.513,0.85,0.21100000000000002,1.0
